titulo,link,data,texto
CPA aplica questionário de Avaliação Institucional 2025,https://www.ifpi.edu.br/noticias/cpa-aplica-questionario-de-avaliacao-institucional-2025,21/10/2025,"A Comissão Própria de Avaliação - CPA informa que, no período de 20 a 31 de outubro de 2025, será aplicado, noSUAP, o questionário de Autoavaliação Institucional referente ao ano de 2025. O processo de autoavaliação é feito com base nos princípios do Sistema Nacional de Avaliação da Educação Superior (SINAES) e tem como principal objetivo produzir conhecimento sobre o IFPI, verificando se o conjunto de atividades e finalidades previstas em seu planejamento foram cumpridas. A comissão destaca a importância da mobilização dos docentes, técnicos-administrativos, e discentes dos cursos superiores (com ingresso até 2025) para que o questionário seja respondido pelo maior número possível de integrantes da comunidade do IFPI. Conheça mais sobre aComissão Própria de Avaliação - CPA"
Campus Floriano divulga locais de prova do Exame Nacional de Acesso,https://www.ifpi.edu.br/floriano/noticias/campus-floriano-divulga-locais-de-prova-do-exame-nacional-de-acesso,21/10/2025,A Coordenação do Mestrado Profissional em Matemática (PROFMAT) do Campus Floriano do IFPI divulgou os locais de prova do Exame Nacional de Acesso (ENA) 2026. Confira.
Campus Pedro II homologa resultado final da seleção de monitores,https://www.ifpi.edu.br/pedroii/noticias/campus-pedro-ii-homologa-resultado-final-da-selecao-de-monitores,21/10/2025,O Campus Pedro II do IFPI homologa o resultado final da seleção de monitores para o período 2025/2 e 2026/1. Confira.
Teresina Central recebe Mostra de Curta Metragens de Animação,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-recebe-mostra-de-curta-metragens-de-animacao,20/10/2025,"O Campus Teresina Central recebe a Mostra de Curta Metragens de Animação, no dia 24 de outubro, das 9h às 11h e de 15 às 17h, no Laboratório da Banda Musical, sala BT-13, prédio B. A atividade integra a programação do Dia Internacional da Animação (DIA),  uma Mostra de curtas-metragens de animação com filmes nacionais e internacionais com exibições em várias cidades de norte a sul do Brasil, simultaneamente, no dia 28 de Outubro, com entrada franca. Em 2025 o evento comemora 22 anos desde sua primeira edição em 2004 no SESC Vila Mariana, em São Paulo, com a exibição de “Planeta Terra”, filme coletivo de 1986 co-dirigido por cerca de 30 animadores. No Brasil, o Dia Internacional da Animação é comemorado com o evento que organiza uma grande rede de exibições da Mostra de curtas metragens de animação composta por um programa de uma hora de curtas brasileiros e uma hora de curtas estrangeiros. Em Teresina, o cineclube PeriferiaHub, através de sua coordenadora e agente territoral de cultura, Danielle Galdino, ficou responsável pela distribuição e exibição da mostra na cidade. Saiba mais sobre o Dia Internacional da Animação (DIA). "
Teresina Zona Sul divulga aprovados para cursos técnicos,https://www.ifpi.edu.br/teresinazonasul/noticias/teresina-zona-sul-divulga-aprovados-para-cursos-tecnicos-2,20/10/2025,"O Campus Teresina Zona Sul divulga oresultado final da Chamada Públicapara os cursos técnicos em Panificação, Nutrição e Dietética, Química e Edificações na forma concomitante/subsequente. Confira os aprovados."
Cocal convoca classificados para monitoria de apoio pedagógico,https://www.ifpi.edu.br/cocal/noticias/cocal-convoca-classificados-para-monitoria-de-apoio-pedagogico,20/10/2025,"O Campus Cocal convoca candidatos classificados no processo seletivo para monitoria remunerada no âmbito da sala de apoio pedagógico/disciplinar. Os convocados devem comparecer a sala da CODIS, até o dia 22 de outubro, das 8h às 12h e de 13h às 16h, e apresentar os termos de aceite e compromisso e os dados bancários. Confira a convocação."
Teresina Central realiza Oficina de Libras sobre Alimentos,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-realiza-oficina-de-libras-sobre-alimentos,20/10/2025,"O Núcleo de Atendimento às Pessoas com Necessidades Específicas do campus Teresina Central realiza, nos dias 23 e 24 de outubro, Oficina de Libras sobre Alimentos. O objetivo é promover a formação em Libras para pessoas que lidam com segurança alimentar e nutrição, para que possam orientar pessoas surdas sobre cuidados básicos de alimentação. As inscrições podem ser feitas até 22 de outubro, viaSUAP."
"Projeto ""Integridade em Movimento"" realiza ação nos polos da UAB/IFPI",https://www.ifpi.edu.br/noticias/projeto-integridade-em-movimento-realiza-acao-nos-polos-da-uab-ifpi,20/10/2025,"Em 11 e 18 de outubro, a equipe do projeto ""Integridade em Movimento"", formada pela Ouvidoria, Corregedoria e  Controladoria, realizaram em parceria com a Coordenação Geral da UAB no IFPI, visitas aos polos UAB de José de Freitas e União. As visitas presenciais foram planejadas visando fomentar uma cultura baseada no respeito, na inclusão, na igualdade, na acessibilidade e na integridade, bem como, prevenir e combater qualquer forma de assédio e discriminação, garantindo nos polos UAB, um ambiente seguro e saudável de convivência, em conformidade com o Plano Setorial de Prevenção e Enfrentamento do Assédio e da Discriminação. O Coordenador Geral da UAB no IFPI, Prof. Raimundo Meneses, afirmou que as visitas fazem parte de um projeto elaborado visando acompanhar mais de perto os cursos ofertados pelo IFPI nos municípios, com vistas a garantir a qualidade da estrutura e do ensino ofertados à população, reforçando o compromisso da Reitoria com o Ensino à Distância no Estado do Piauí. ""Nosso objetivo é alcançar os quase 4.720 alunos matriculados nos cursos EaD do IFPI, presentes em mais de 37 polos espalhados pelo Piauí. Mais do que números, queremos fortalecer o sentimento de pertencimento, mostrando que, mesmo à distância, cada estudante faz parte do IFPI e contribui ativamente para o desenvolvimento da sua comunidade"" enfatizou o Coordenador Geral. Na oportunidade, foram visitados os cursos de Licenciatura em Libras, Pedagogia, Ciências da Natureza, Especialização em Docência na EPT, Letras Português e Letras Inglês, alcançando nos dois polos mais de 300 alunos. A equipe aproveitou para distribuir material informativo contra assédio e discriminação e informativos com os direitos, deveres e vedações aos discentes previstos na Organização Didática do IFPI. A equipe do Projeto ""Integridade em Movimento"", representada na ocasião pela Ouvidora Priscilla Macêdo, ressaltou a importância de disseminar à toda a comunidade interna, inclusive aos alunos EAD/UAB, a necessidade d"
Alunos do Bacharelado do Campus Corrente participam de atividade no SEBRAE,https://www.ifpi.edu.br/corrente/noticias/alunos-do-bacharelado-do-campus-corrente-participam-de-atividade-no-sebrae,20/10/2025,"Alunos do 4° Módulo do Bacharelado em Administração do Campus Corrente, participaram, no dia 17 de outubro, da palestra “Custos Invisíveis: como identificar e eliminar os vilões do lucro”, com o especialista em Gestão Financeira e Produtividade Empresarial, Eduardo Fernandes, promovida pelo SEBRAE-Corrente. O palestrante frisou a importância de “anotar todo recurso, por menor que seja, que sai do caixa da empresa. É preciso ter controle dos gastos, inclusive, dos pequenos”. Os discentes de Administração foram acompanhados pelo Coordenador do Curso, Teodório Rogério Júnior, que destacou a relevância do trabalho do SEBRAE no sul do Piauí, e falou da disponibilidade  para firmar parcerias do Bacharelado em Administração com o SEBRAE-Corrente."
DGN em Cena celebra relação entre professores e alunos no Campus Teresina Central,https://www.ifpi.edu.br/teresinacentral/noticias/dgn-em-cena-celebra-relacao-entre-professores-e-alunos-no-campus-teresina-central,20/10/2025,"No dia 15 de outubro, em homenagem ao Dia dos Professores, o Campus Teresina Central, por meio do Departamento de Gestão e Negócios, realizou o evento “DGN em Cena: Docentes e Discentes – A construção de uma relação”. A atividade aconteceu no auditório Maestrina Cloris de Oliveira, com uma programação especial que destacou a importância do respeito, valorização e colaboração entre professores e alunos. Durante a abertura, a professora Lyvia Basílio, chefe do DGN, ressaltou o papel fundamental dos docentes na formação acadêmica e pessoal dos estudantes, reforçando a necessidade de valorização da categoria. O Professor Ranyere Nery conduziu um bate-papo sobre a legislação envolvendo a gravação de aulas sem autorização dos professores. O debate incluiu aspectos sobre direitos autorais, uso de imagem, e a proteção especial prevista no Estatuto da Criança e do Adolescente para imagens de menores. A programação cultural trouxe ainda momentos de interação e emoção. A professora Françoise Fontenele apresentou um grupo de alunos que dramatizou cenas do cotidiano escolar, imitando professores e envolvendo o público em um desafio de adivinhação sobre quem estava sendo representado. Outro destaque foi a encenação da professora Andrea Melo e do professor Derick Raphael, que retrataram o reencontro deles no IFPI. Andrea, que foi professora de Derick em 2013, viu seu ex-aluno retornar agora como professor substituto, simbolizando a transformação e continuidade da educação na vida dos discentes. Para encerrar, a professora Andrea Melo leu um texto que reforça a indissociável relação entre docentes e discentes, lembrando que um não existe sem o outro. A noite foi finalizada pela professora Lyvia Basílio, que entregou certificados de reconhecimento a todos os docentes presentes, como forma de homenagear e valorizar o trabalho desses profissionais essenciais à educação. “O evento DGN em Cena reafirmou o compromisso do IFPI com a construção de relações respeitosas e colaborativas entre"
Estudantes de José de Freitas visitam o Campus Teresina Central,https://www.ifpi.edu.br/teresinacentral/noticias/estudantes-de-jose-de-freitas-visitam-o-campus-teresina-central,20/10/2025,"O Campus Teresina Central recebeu, na manhã desta quinta-feira, 16, estudantes da Fundação Cândida de Figueiredo Cunha, localizada no município de José de Freitas. A atividade faz parte do projeto Passaporte para o Ensino Médio, que prepara alunos do 9º ano, com aulas de Português e Matemática, para ingressarem no Instituto Federal do Piauí (IFPI). Segundo o professor John Kenedy Saturnino, que acompanhou os alunos, eles já conheceram o curso de Agricultura do Campus José de Freitas, mas muitos demonstram interesse em outras áreas oferecidas no Campus Teresina Central, pois são incentivados a concorrer em lugares diferentes. “Estamos oferecendo uma boa preparação, independente do campus que desejam estudar, para que obtenham êxito. O o acesso aos laboratórios favorece uma visão de futuro e os incentiva na escolha da área que queiram seguir”. A assistente social da Fundação, Rosélia Cardoso, conta que os estudantes tiveram ainda a oportunidade de andar pelas ruas da cidade, visualizar o cotidiano e os acessos que levam ao Campus Teresina Central. Na instituição, foram acolhidos pela chefe do Departamento de Indústria, Segurança e Produção Cultural, Rosilda Silva. Ao apresentar os laboratórios, o coordenador do curso de Eletrônica, professor Márcio Dias, ressaltou que há vagas no mercado de trabalho, mas é preciso qualificação."
Corrente divulga resultado preliminar para bolsas de monitoria,https://www.ifpi.edu.br/corrente/noticias/corrente-divulga-resultado-preliminar-para-bolsas-de-monitoria,20/10/2025,OCampus Corrente do IFPI divulga o Resultado Preliminar da seleçãopara concessão de bolsas de monitoria remunerada nas áreas de Matemática e Língua Portuguesa. Confira.
IFPI lança projeto de  Difusão de Galinhas Caipiras,https://www.ifpi.edu.br/noticias/ifpi-lanca-projeto-de-difusao-de-galinhas-caipiras,20/10/2025,"O Instituto Federal do Piauí lançou, no ultimo sábado (18), o Projeto Difusão de Galinhas Caipiras e Fortalecimento da Agricultura Familiar na Região Norte do Piauí. O evento aconteceu no auditório da OAB-PI. Estiveram presentes, além do ministro Wellington Dias, o reitor do IFPI, Paulo Borges da Cunha, pró-reitores e representantes do projeto. O Projeto, realizado em parceria com o Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome (MDS) e Banco do Nordeste do Brasil (BNB), tem como objetivo promover a criação e o manejo da galinha caipira da raça Canela-Preta em comunidades e assentamentos rurais. Através dessa iniciativa, mais de 500 agricultores familiares receberão capacitação e apoio técnico, proporcionando meios para a geração de renda e oportunidades de trabalho através da avicultura caipira. A coordenadora geral do projeto, Dayseanny Oliveira, ressalta que a proposta irá contribuir diretamente para a melhoria da qualidade de vida, redução das desigualdades sociais, segurança alimentar, além de elevar o Índice de Desenvolvimento Humano Municipal (IDH-M) das localidades beneficiadas. Para o reitor do IFPI, Paulo Borges da Cunha, o projeto confirma o compromisso do IFPI, promovendo a oportunidade de crescimento e fortalecimento para os agricultores através do acesso ao conhecimento, inovação e oportunidades."
Divulgada lista de aprovados em 3ª chamada para o curso técnico em Defesa Civil,https://www.ifpi.edu.br/teresinacentral/noticias/divulgada-a-lista-de-aprovados-em-3a-chamada-para-o-curso-tecnico-em-defesa-civil,17/10/2025,"O Instituto Federal Catarinense (Campus Camboriú), coordenador nacional do curso, divulgou a terceira chamada para o Técnico Subsequente ao Ensino Médio em Defesa Civil (EaD). Os candidatos aprovados para o Campus Teresina Central do Instituto Federal do Piauí (IFPI) devem enviar os documentos de matrícula no período de 17 a 21 de outubro. Confira a lista da terceira chamada: Edital 56 – comunidade em geral:https://bit.ly/defesachamada Edital 57 – servidores da Defesa Civil:https://bit.ly/listaedital57 Expansão nacional A ampliação do curso foi viabilizada por meio de parceria entre o IFC e os Ministérios da Educação (SETEC/MEC), da Integração e do Desenvolvimento Regional (SEDEC/MIDR) e da Justiça e Segurança Pública (FDD/MJSP). Segundo a coordenadora nacional, Cleonice Beppler, a iniciativa visa profissionalizar as Defesas Civis em todas as esferas (municipal, estadual e distrital) e ampliar o acesso a uma formação técnica gratuita com certificação federal. Sobre o curso Com duração de 1,5 anos, o curso prepara profissionais para atuar na gestão de riscos e desastres, cobrindo todas as fases do ciclo da proteção e defesa civil: prevenção, mitigação, preparação, resposta e recuperação. A modalidade é EaD, com 80% das aulas a distância e 20% presenciais, realizadas a cada dois meses nos campi escolhidos pelos alunos. As aulas começam em 22 de outubro de 2025."
Cocal divulga preliminar em seleção para monitorias,https://www.ifpi.edu.br/cocal/noticias/cocal-divulga-preliminar-em-selecao-para-monitorias,17/10/2025,O Campus Cocal divulga o resultado preliminar da seleção de monitores bolsistas e voluntários para atuarem na Unidade de Aulas Práticas e Pesquisa. Confira aqui.
Campus Floriano desenvolve projeto para divulgar cursos técnicos,https://www.ifpi.edu.br/floriano/noticias/campus-floriano-desenvolve-projeto-para-divulgar-cursos-tecnicos,17/10/2025,"O Campus Floriano está executando o projeto de extensão ""Conhecendo os cursos técnicos integrados ao ensino médio do IFPI Floriano- O IFPI como porta de entrada para a realização de sonhos"", com foco na divulgação dos cursos ofertados e no apoio às ações do Exame Classificatório 2026. A iniciativa tem como público-alvo alunos e familiares participantes do programa PARTIU-IF, além da comunidade em geral, e visa ampliar o conhecimento sobre os cursos técnicos integrados ao ensino médio disponíveis no campus de Floriano, incentivando a participação no Exame Classificatório 2026. Além da divulgação, o projeto também oferece capacitação a servidores das escolas públicas de Floriano e região, com o objetivo de prepará-los para orientar e auxiliar os estudantes da rede municipal durante o período de inscrições no exame classificatório. A ação conta com o envolvimento de servidores que integram a equipe do PARTIU-IF e da comissão local do Exame Classificatório, reforçando o compromisso do Campus Floriano com a inclusão, a educação de qualidade e o acesso ao ensino técnico gratuito."
Picos oferta vagas em curso de Eletricista Instalador Predial,https://www.ifpi.edu.br/picos/noticias/picos-oferta-vagas-em-curso-de-eletricista-instalador-predial,17/10/2025,"O Campus Picos oferta 20 vagas para o Curso de Formação Inicial e Continuada (FIC) em Eletricista Instalador Predial de Baixa Tensão. O curso é destinado a maiores de 18 anos, com ensino fundamental completo, interessados em se qualificar, aperfeiçoar tecnicamente ou adquirir novos conhecimentos nesta área. As aulas serão realizadas de segunda a sexta, das 18h às 22h, durante 10 semanas. As inscrições serão realizadas de forma presencial no Campus Picos, de 17 a 23 de outubro, mediante apresentação da documentação listada no edital. Confira oedital completo."
Campus Pedro II divulga preliminar em seleção de monitores,https://www.ifpi.edu.br/pedroii/noticias/campus-pedro-ii-divulga-preliminar-em-selecao-de-monitores,17/10/2025,O Campus Pedro II torna público o Resultado Preliminar do Processo Seletivo de Monitores 2025.2. Os interessados podem  solicitar a folha de resposta da prova pelo e-mail:selecao.capedii@ifpi.edu.br. Confira o resultado preliminar. 
IFPI divulga resultado final do Programa Bolsa Permanência,https://www.ifpi.edu.br/noticias/ifpi-divulga-resultado-final-do-programa-bolsa-permanencia,17/10/2025,"A Pró-Reitoria de Ensino do Instituto Federal do Piauí (IFPI) divulga o resultado final do Edital nº 49/2025 – PROEN/REI/IFPI, referente à seleção de estudantes indígenas e quilombolas para o Programa Bolsa Permanência (PBP) do Ministério da Educação, regulamentado pelas Portarias MEC nº 389/2013 e nº 1.999/2023. A seleção possui caráter de cadastro de reserva, e os candidatos classificados terão seus cadastros autorizados no Sistema de Gestão da Bolsa Permanência (SISBP) conforme o surgimento de novas vagas, de acordo com a disponibilidade orçamentária e autorização do Ministério da Educação (MEC). Atualmente, o IFPI conta com 57 cotas para estudantes bolsistas do Programa, além de  6 novas vagas para autorização imediata de cadastro, que serão preenchidas seguindo a ordem de classificação divulgada no resultado final. Para o cálculo do tempo restante para integralização do curso, foi considerado o percentual de progresso no curso (conforme o SUAP-Edu) e o tempo mínimo de integralização de cada graduação, assegurando maior objetividade e equidade no processo seletivo. O pagamento da Bolsa Permanência é realizado diretamente pelo Fundo Nacional de Desenvolvimento da Educação (FNDE), por meio de cartão-benefício emitido pelo Banco do Brasil, em nome do estudante, no valor mensal de R$ 1.400,00. Estudantes matriculados nos cursos de Licenciatura Intercultural Indígena para a formação de professores farão jus, durante os períodos de atividades pedagógicas formativas, a bolsa permanência até o limite máximo de seis meses, de acordo com o § 4º do artigo 4º da Portaria MEC nº 389, de 9 de maio de 2013. A Pró-Reitoria de Ensino orienta os candidatos classificados a acompanharem seus cadastros no SISBP e manterem atualizadas suas informações junto ao campus de matrícula. Confira o resultado."
IFPI seleciona supervisor de Química para o PIBID,https://www.ifpi.edu.br/paulistana/noticias/ifpi-seleciona-supervisor-de-quimica-para-o-pibid,16/10/2025,"A Coordenação do Programa Institucional de Bolsa de Iniciação à Docência (PIBID) do IFPI divulga edital para seleção de Bolsistas Supervisores para atuarem no curso de Licenciatura em Química do Campus Paulistana. Os interessados devem possuir diploma de licenciatura em área do conhecimento correspondente à área do subprojeto, possuir experiência mínima de 2 (dois) anos no magistério da educação básica, ser docente na escola parceira que abrigará o subprojeto, possuir disponibilidade de tempo (mínimo de 10 horas semanais), e atender os demais requisitos do edital. As inscrições serão realizadas de 16 a 21 de outubro, através deformulário on-line.A seleção será através da análise de pontuação da documentação comprobatória apresentada no momento da inscrição. O supervisor selecionado receberá bolsa de R$ 1.100 mensais, depositada diretamente pela CAPES. Confira o edital completo."
Teresina Zona Sul divulga resultados de Chamada Pública para cursos técnicos,https://www.ifpi.edu.br/teresinazonasul/noticias/teresina-zona-sul-divulga-resultados-de-chamada-publica-para-cursos-tecnicos-1,16/10/2025,"O Campus Teresina zona Sul divulga oresultado preliminar da Chamada Pública e o resultado final do Processo de Heteroidentificaçãodos candidatos da Chamada Pública para os cursos técnicos em Panificação, Nutrição e Dietética, Química e Edificações na forma concomitante/subsequente. Confira: Resultado preliminar da Chamada Pública Resultado final da Heteroidentificação"
